"","Family","Subfamily","Tribe","Genus","animal","type","caste.number","caste.number.ref","colony.size","colony.size.ref","queen.mating.frequency.original","queen.number.continuous","queen.number.binary","Inherent_Constraints_Scale","Conditional_Constraints_Scale","Constraints_Confidence","Constraints_Scale_Notes","Ref.2","Supercolonial.Helantera.review_no.stringent.nonstringent","social.parasite.Antwiki_no.yes","clonal","hybridisation","Taxonomic_info.Antcat.registered_undescribed.species_Antcat.unregistered_incertae.sedis._subspecies","Min_size","Max_size","Raw_Data_all_workers","Sample_size_all_workers","Queen_HW_mean","Queen_HW_mean.1","Sample_size_queen","Raw_data_queen"
"1143","Formicidae","Formicinae","Formicini","Formica","Formica_cunicularia","ant",1,"West & Purcell, 2020; Tawdros et al., 2020",1250,"Parr et al., 2017; Beckers et al., 1989","",NA,NA,NA,NA,NA,"",NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"1144","Formicidae","Formicinae","Formicini","Formica","Formica_dakotensis","ant",1,"West & Purcell, 2020; Tawdros et al., 2020",NA,"","",NA,NA,NA,NA,NA,"",NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"1145","Formicidae","Formicinae","Formicini","Formica","Formica_dolosa","ant",1,"West & Purcell, 2020; Tawdros et al., 2020",NA,"","",NA,NA,NA,NA,NA,"",NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"1146","Formicidae","Formicinae","Formicini","Formica","Formica_exsectoides","ant",1,"West & Purcell, 2020; Tawdros et al., 2020",139938,"Holldobler & Wilson, 1990; Kaspari & Vargo, 1995","",NA,NA,NA,NA,NA,"",NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"1147","Formicidae","Formicinae","Formicini","Formica","Formica_foreli","ant",1,"West & Purcell, 2020; Tawdros et al., 2020",NA,"","",NA,NA,NA,NA,NA,"",NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"1148","Formicidae","Formicinae","Formicini","Formica","Formica_fusca","ant",1,"West & Purcell, 2020; Tawdros et al., 2020",1013.89,"Holldobler & Wilson, 1990; Helantera & Sundstrom, 2007; Helantera & Sundstrom, 2005; Hannonen et al., 2004","1,11","2.96",1,3,4,1,"page 191 The Ants",NA,0,0,0,0,0,1.065,2.723,"1.121, 1.193, 2.723, 1.332, 1.355, 1.065",6,1.811,NA,1,"1.811"
"1149","Formicidae","Formicinae","Formicini","Formica","Formica_gagates","ant",1,"West & Purcell, 2020; Tawdros et al., 2020",NA,"","",NA,NA,NA,NA,NA,"",NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"1150","Formicidae","Formicinae","Formicini","Formica","Formica_glacialis","ant",1,"West & Purcell, 2020; Tawdros et al., 2020",NA,"","",NA,NA,NA,NA,NA,"",NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"1151","Formicidae","Formicinae","Formicini","Formica","Formica_incerta","ant",1,"West & Purcell, 2020; Tawdros et al., 2020",714,"Holldobler & Wilson, 1990","",NA,NA,NA,NA,NA,"",NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"1152","Formicidae","Formicinae","Formicini","Formica","Formica_japonica","ant",1,"West & Purcell, 2020; Tawdros et al., 2020",2495,"Holldobler & Wilson, 1990; Kaspari & Vargo, 1995","1","5",1,NA,NA,NA,"social parasite",NA,0,0,0,0,0,1.178,1.478,"1.178, 1.478, 1.246",3,1.813,NA,1,"1.813"
"1153","Formicidae","Formicinae","Formicini","Formica","Formica_lemani","ant",1,"West & Purcell, 2020; Tawdros et al., 2020",NA,"","",NA,NA,NA,NA,NA,"",NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"1154","Formicidae","Formicinae","Formicini","Formica","Formica_montana","ant",1,"West & Purcell, 2020; Tawdros et al., 2020",NA,"","",NA,1,NA,NA,NA,"",NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"1155","Formicidae","Formicinae","Formicini","Formica","Formica_neoclara","ant",1,"West & Purcell, 2020; Tawdros et al., 2020",NA,"","",NA,NA,NA,NA,NA,"",NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"1156","Formicidae","Formicinae","Formicini","Formica","Formica_neogagates","ant",1,"Frumhoff & Ward, 1992; West & Purcell, 2020; Tawdros et al., 2020",NA,"","",NA,NA,NA,NA,NA,"",NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"1157","Formicidae","Formicinae","Formicini","Formica","Formica_neorufibarbis","ant",1,"Holldobler&Wilson, 1990; West & Purcell, 2020; Tawdros et al., 2020",150,"Billick, 2002","",NA,1,3,4,1,"worker can produce males. ""Reproductive queenright colonies produce primarily females "" ---- Billick, I. 2003. Worker demography in the ant Formica neorufibarbis. Ecological Entomology 28: 139-144",NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"1158","Formicidae","Formicinae","Formicini","Formica","Formica_obscuriventris","ant",1,"West & Purcell, 2020; Tawdros et al., 2020",NA,"","",NA,NA,NA,NA,NA,"",NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"1159","Formicidae","Formicinae","Formicini","Formica","Formica_opaciventris","ant",1,"West & Purcell, 2020; Tawdros et al., 2020",NA,"","","",1,NA,NA,NA,"",NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"1160","Formicidae","Formicinae","Formicini","Formica","Formica_pallidefulva","ant",1,"West & Purcell, 2020; Tawdros et al., 2020; Rajakumar et al., 2018",2209.54,"Holldobler & Wilson, 1990; King & Porter, 2007","",NA,NA,3,4,1,"page 191 The Ants",NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"1161","Formicidae","Formicinae","Formicini","Formica","Formica_perpilosa","ant",1,"Holldobler&Wilson, 1990; West & Purcell, 2020; Tawdros et al., 2020",NA,"","",NA,NA,NA,NA,NA,"",NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"1162","Formicidae","Formicinae","Formicini","Formica","Formica_picea","ant",1,"West & Purcell, 2020; Tawdros et al., 2020",650,"Seifert, 2017","1","14,29",1,NA,NA,NA,"",NA,0,0,0,0,0,1.107,1.237,"1.11, 1.237, 1.107",3,1.643,NA,1,"1.643"
"1163","Formicidae","Formicinae","Formicini","Formica","Formica_podzolica","ant",1,"West & Purcell, 2020; Tawdros et al., 2020",22500,"Deslippe & Savoleinen, 1995","1,07","4,5",1,NA,NA,NA,"",NA,0,0,0,0,0,1.213,1.492,"1.213, 1.337, 1.281, 1.492",4,1.83,NA,1,"1.83"
"1164","Formicidae","Formicinae","Formicini","Formica","Formica_pratensis","ant",1,"West & Purcell, 2020; Tawdros et al., 2020",95555.55,"Helantera & Sundstrom, 2007; Beckers et al., 1989","1,22","1",0,3,4,1,"page 191 The Ants",NA,0,0,0,0,0,1.505,1.904,"1.705, 1.847, 1.894, 1.505, 1.528, 1.904",6,2.2512,NA,5,"2.125, 2.404, 2.125, 2.41, 2.192"
