animal,Family,Subfamily,Tribe,Genus,type,caste.number,caste.number.ref,colony.size,colony.size.ref,queen.mating.frequency.original,queen.number.continuous,queen.number.binary,Supercolonial.Helantera.review_no.stringent.nonstringent,social.parasite.Antwiki_no.yes,clonal,hybridisation,Taxonomic_info.Antcat.registered_undescribed.species_Antcat.unregistered_incertae.sedis._subspecies,Min_size,Max_size,Raw_Data_all_workers,Sample_size_all_workers,Queen_HW_mean,Queen_HW_mean.1,Sample_size_queen,Raw_data_queen
Melipona_favosa,Apidae,Apinae,Meliponini,Melipona,bee,1,NA,241,"Toth et al., 2004",1,1,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Melipona_flavolineata,Apidae,Apinae,Meliponini,Melipona,bee,1,"Gruter et al., 2017",750,"Hilario & Imperatriz-Fonseca, 2009 (citing Cortopassi-Laurino et al., 2007)",NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Melipona_fuliginosa,Apidae,Apinae,Meliponini,Melipona,bee,1,NA,400,"Hilario & Imperatriz-Fonseca, 2009 (citing Roubik & Buchmann, 1984)",NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Melipona_grandis,Apidae,Apinae,Meliponini,Melipona,bee,1,NA,NA,"Hilario & Imperatriz-Fonseca, 2009 (citing Cortopassi-Laurino et al., 2007)",NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Melipona_marginata,Apidae,Apinae,Meliponini,Melipona,bee,1,NA,NA,"Michner, 1974; Hammond&keller, 2004; Hilario & Imperatriz-Fonseca, 2009 (citing Roubik & Buchmann, 1984)",1,1,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Melipona_marginatacarrikeri,Apidae,Apinae,Meliponini,Melipona,bee,1,NA,210,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Melipona_marginatamarginata,Apidae,Apinae,Meliponini,Melipona,bee,1,NA,191,"Wille, 1983",NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Melipona_melanoventer,Apidae,Apinae,Meliponini,Melipona,bee,1,"Gruter et al., 2017",NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Melipona_mondury,Apidae,Apinae,Meliponini,Melipona,bee,1,NA,5959,"Viana et al. 2015. Bionomics of Melipona mondury Smith 1863 (Hymenoptera: Apidae, Meliponini) in relation to its nesting behaviour. Biota neotrop. 15(3).",1.84,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Melipona_panamica,Apidae,Apinae,Meliponini,Melipona,bee,1,NA,839,"Toth et al., 2004; Jaffe et al., 2014",1,1,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Melipona_quadrifasciata,Apidae,Apinae,Meliponini,Melipona,bee,1,NA,483.33,"Michner, 1974; Hammond&keller, 2004",1,1,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Melipona_quinquefasciata,Apidae,Apinae,Meliponini,Melipona,bee,1,NA,NA,NA,1,1,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Melipona_scutellaris,Apidae,Apinae,Meliponini,Melipona,bee,1,"Gruter et al., 2017",802.125,"Michner, 1974; Hammond&keller, 2004; Jaffe et al., 2014",1,1,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Melipona_subnitida,Apidae,Apinae,Meliponini,Melipona,bee,1,"Gruter et al., 2017",450,"Toth et al., 2004",1,1,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Meliponula_nebulata,Apidae,Apinae,Meliponini,Meliponula,bee,1,NA,1700,"Hilario & Imperatriz-Fonseca, 2009 (citing Kajobe & Echazarreta, 2005)",NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Melophorus_aeneovirens,Formicidae,Formicinae,Melophorini,Melophorus,ant,NA,"Hoffmann, 1998",NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Melophorus_bagoti,Formicidae,Formicinae,Melophorini,Melophorus,ant,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Melophorus_turneri,Formicidae,Formicinae,Melophorini,Melophorus,ant,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
